geo,country_name,total_voting_age,other_eu_voting_age,pct_of_voters_other_eu
LU,Luxembourg,545259.0,203044.0,37.24
CY,Cyprus,790838.0,82957.0,10.49
AT,Austria,7572698.0,744161.0,9.83
BE,Belgium,9478368.0,829613.0,8.75
MT,Malta,480382.0,38596.0,8.03
IE,Ireland,4125579.0,307083.0,7.44
DE,Germany,66606660.0,3744466.0,5.62
DK,Denmark,4812433.0,227540.0,4.73
NL,Netherlands,14617371.0,639476.0,4.37
ES,Spain,40602397.0,1473226.0,3.63
SE,Sweden,8380519.0,270700.0,3.23
FR,France,54301695.0,1292049.0,2.38
IT,Italy,50032206.0,1139716.0,2.28
FI,Finland,4582736.0,90446.0,1.97
EE,Estonia,1108508.0,20804.0,1.88
CZ,Czechia,8816805.0,166024.0,1.88
PT,Portugal,8959094.0,163417.0,1.82
EL,Greece,8712582.0,103296.0,1.19
SI,Slovenia,1748708.0,19189.0,1.1
HU,Hungary,7904130.0,78032.0,0.99
SK,Slovakia,4395334.0,37366.0,0.85
HR,Croatia,3203742.0,17729.0,0.55
BG,Bulgaria,5346515.0,24100.0,0.45
LV,Latvia,1518347.0,6130.0,0.4
RO,Romania,15376776.0,56268.0,0.37
LT,Lithuania,1985371.0,2449.0,0.12
PL,Poland,29989350.0,30123.0,0.1
